Time,Temp1,Temp2,TempSurface,TempCenter,TempCalibration,AmbientTemp,AmbientHumidity,Timestamp
0,749.6,750.3,224.8,187.0,750.2,0.0,0.0,2026-06-30 23:07:10
0,750.1,750.5,234.3,191.6,750.7,0.0,0.0,2026-06-30 23:07:11
1,750.2,749.7,244.1,195.8,749.4,0.0,0.0,2026-06-30 23:07:11
1,749.8,749.9,253.7,200.1,749.0,0.0,0.0,2026-06-30 23:07:12
2,749.9,749.7,263.1,204.3,749.6,0.0,0.0,2026-06-30 23:07:13
3,750.0,750.0,272.3,208.8,749.9,0.0,0.0,2026-06-30 23:07:14
4,749.8,749.6,280.9,213.5,749.7,0.0,0.0,2026-06-30 23:07:15
5,750.4,749.9,289.6,218.0,749.4,0.0,0.0,2026-06-30 23:07:15
5,750.3,750.4,297.7,222.3,749.7,0.0,0.0,2026-06-30 23:07:16
6,749.8,750.1,305.7,226.5,749.9,0.0,0.0,2026-06-30 23:07:17
7,749.9,750.0,314.2,231.1,749.2,0.0,0.0,2026-06-30 23:07:18
8,750.0,749.6,322.5,235.4,749.6,0.0,0.0,2026-06-30 23:07:19
9,750.0,749.6,330.6,239.1,749.4,0.0,0.0,2026-06-30 23:07:19
9,750.2,749.7,338.0,242.8,749.3,0.0,0.0,2026-06-30 23:07:20
10,750.1,750.4,345.1,247.1,750.7,0.0,0.0,2026-06-30 23:07:21
11,750.3,749.8,352.3,251.2,750.6,0.0,0.0,2026-06-30 23:07:22
12,749.6,750.0,359.8,255.5,749.3,0.0,0.0,2026-06-30 23:07:23
13,750.2,750.1,366.9,259.0,751.0,0.0,0.0,2026-06-30 23:07:23
13,749.8,750.2,373.9,263.0,749.1,0.0,0.0,2026-06-30 23:07:24
14,750.1,750.2,380.2,267.0,750.2,0.0,0.0,2026-06-30 23:07:25
15,750.4,750.4,386.8,270.6,751.3,0.0,0.0,2026-06-30 23:07:26
16,749.7,750.1,393.0,274.2,749.2,0.0,0.0,2026-06-30 23:07:27
17,750.4,749.9,399.3,278.0,750.0,0.0,0.0,2026-06-30 23:07:27
17,749.5,749.7,405.8,281.6,749.4,0.0,0.0,2026-06-30 23:07:28
18,750.0,750.4,411.9,284.9,750.9,0.0,0.0,2026-06-30 23:07:29
19,750.5,750.3,418.1,287.9,751.4,0.0,0.0,2026-06-30 23:07:30
20,749.5,750.1,424.3,291.3,748.7,0.0,0.0,2026-06-30 23:07:31
21,750.3,750.3,429.8,294.6,749.4,0.0,0.0,2026-06-30 23:07:31
21,750.0,750.5,435.4,298.0,750.7,0.0,0.0,2026-06-30 23:07:32
22,750.1,750.1,440.8,301.6,750.1,0.0,0.0,2026-06-30 23:07:33
23,750.0,749.7,446.5,304.9,749.2,0.0,0.0,2026-06-30 23:07:34
24,749.6,750.2,451.8,308.7,749.3,0.0,0.0,2026-06-30 23:07:35
25,749.7,750.0,456.9,312.2,749.9,0.0,0.0,2026-06-30 23:07:35
25,750.0,749.9,461.9,315.7,750.8,0.0,0.0,2026-06-30 23:07:36
26,749.9,749.6,467.1,319.3,750.8,0.0,0.0,2026-06-30 23:07:37
27,750.0,749.8,471.6,322.6,749.2,0.0,0.0,2026-06-30 23:07:38
28,750.4,750.3,476.4,325.3,750.8,0.0,0.0,2026-06-30 23:07:39
29,750.2,749.6,481.1,327.9,749.6,0.0,0.0,2026-06-30 23:07:39
29,750.2,750.5,485.4,330.8,749.7,0.0,0.0,2026-06-30 23:07:40
